,Number/file name in AWS,Reflected in Google Map to NUS President,Type,Longname,Shortname,Lon,Lat,X,Y,STREET_CarPark_percent,STREET_CarPark_distance,STREET_CourtTrack_percent,STREET_CourtTrack_distance,STREET_Path_percent,STREET_Path_distance,STREET_Road_percent,STREET_Road_distance,STREET_Walkway_percent,STREET_Walkway_distance,BLDandVEG_Sun_h,BLDandVEG_SkyExp,VEG_Tree_Height,VEG_TypeA_percent,VEG_TypeB_percent,VEG_TypeC_percent,VEG_TypeD_percent,VEG_TypeE_percent,VEG_Turf_percent,VEG_Shrub_percent,BLD_percent,BLD_Height,Terrain_height,VEG_TypeA_distance,VEG_TypeB_distance,VEG_TypeC_distance,VEG_TypeD_distance,VEG_TypeE_distance,VEG_Turf_distance,VEG_Shrub_distance
10,25,9,Weather station,Lamp post - roundabout YIH,WS25,103.7745906,1.2997078,21464.1008030461,31340.6795693464,-0.23576285484617848,-0.8142137256165791,-0.1393616913663457,-0.3569538456448648,-0.1952673931435425,-0.6417498998025213,2.0626604974707554,-0.8465161608921171,-0.21348281562425503,-0.9399976869284753,-0.4828397900160679,-0.4060756617830263,0.13657470915204406,0.5782860871555207,0.6740656406664038,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,0.27743642990126016,-0.102024693288198,-0.684629414740228,-0.5317790761057838,-0.2701536524020024,-0.886541477286763,-0.5848327139817816,-0.7091431288188552,-0.30521591598397413,-0.33123594976078047,-0.5701283782333966,-0.6514673625719782
11,29,8,Weather station,Lamp post - U-Turn in front of LKCNH Museum,WS29,103.773258,1.301106,21315.797958237774,31495.288894853828,-0.23576285484617848,-0.8724215796222952,-0.1393616913663457,-1.1243936973679038,-0.1952673931435425,-0.7655279249122827,0.4676684113567463,-0.8316002441751909,-0.19155840580902733,-0.947042013416414,0.32650499793148086,0.10725538950940294,-0.6974100476999251,0.2603143076994835,-0.5272956947066008,-0.2134221341675666,0.31939686879520257,1.4285587489368923,1.999231600429707,-0.102024693288198,-0.684629414740228,-0.5317790761057838,-1.0499553873219463,-0.8496156400974186,-0.3421151266532213,-0.2561352437420747,-0.38816597049301055,-0.47774465878964945,-0.5701283782333966,-0.7539346966759438
12,31,18,Weather station,Lamp post - CP11 in front of Synchrotron,WS31,103.7746966,1.2955404,21475.886980120267,30879.869442485076,-0.23576285484617848,-0.44512420448613604,-0.1393616913663457,0.9032033580738391,-0.1952673931435425,-0.46372927473703907,0.9628784120188941,-0.8455961233765835,2.2064239177315033,-1.0257457825807208,0.5755341634538036,1.0100569436558176,-0.391454913804956,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,0.8636265819756961,-0.26599236280384064,-0.4390870261571617,-0.102024693288198,-0.684629414740228,-0.5317790761057838,0.05310717367611221,0.7898150365727327,-0.40806856963902377,-0.15192307304243502,-0.4040129503246058,-0.2795364429464583,-0.5219013282402148,-0.6885730113772037
13,32,17,Weather station,Open ground - next to BIZ1,WS32,103.7745159,1.292331,21455.76841862611,30524.99082251101,-0.23576285484617848,-0.8964001799749182,-0.1393616913663457,-0.9766015722446401,-0.1952673931435425,-0.8912510544081428,0.6486549590326479,-0.836189028239423,4.21250741582484,-1.0214800491902603,-0.66961166415781,-0.6295246708569795,-0.5074039729106485,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,2.6135218193858676,0.6401847022981558,-0.5674195854512074,-0.102024693288198,1.429550476660283,-0.0412681954153906,-1.1065166909740547,-0.4392125763491125,-0.32337051325994903,-0.44162395066082816,-0.4188504417051317,-0.4744539837438323,-0.39655217118460984,-0.8799066420422665
14,33,15,Weather station,Lamp post - CP13 School of Computing,WS33,103.7730675,1.2948823,21294.580617412874,30807.104351163343,2.5092117220116528,-0.9637876907832241,-0.1393616913663457,0.044775262627632005,-0.1952673931435425,-0.7043535817178966,-0.37719219630480283,0.39328576030902573,-0.21348281562425503,-0.9215498156289599,0.7623060375955456,0.8206589235209183,0.6774554834539908,-0.3160805023445425,1.2586586728522229,-0.2134221341675666,-0.2174562368271217,-0.26599236280384064,0.24000610010716347,-0.102024693288198,-0.684629414740228,-0.5317790761057838,0.5898469364368903,-0.5096351908973249,-0.5916570953120419,-0.5072263436525517,-0.3856725233730075,-0.3353182943092264,-0.5631062024273747,-0.7327090970819846
15,36,21,Weather station,Open ground - King Edward VII Hall,WS36,103.7809051,1.2914303,22166.82948879752,30425.380453267408,-0.23576285484617848,-0.13736668446349126,-0.1393616913663457,-0.7151083488632695,-0.1952673931435425,-0.7901039215754966,-0.37719219630480283,-0.12478490912931668,-0.21348281562425503,-0.6118255370856851,0.13973312378973884,0.11104529151369555,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,0.6710900120612722,-0.48055523973516145,-0.26599236280384064,1.1436812051360685,-0.102024693288198,0.021635920159942625,0.2886109138952038,0.7499825347038486,-0.5711978837157666,0.26248289446215906,-0.8048103104071542,-0.31224826742420786,-0.0701766338676185,-0.5693231649960362,-0.9084994584534772
16,37,29,Weather station,Open ground - CP6 between S7 and S13,WS37,103.7791314,1.2965411,21969.44391250956,30990.5107501916,2.4827055943865286,-0.9637876907832241,-0.1393616913663457,-0.4660536502555933,-0.1952673931435425,0.6664241039166481,-0.37719219630480283,0.28861393867277785,-0.21348281562425503,-0.005110928309087508,-0.4828397900160679,-0.0441892603777053,0.3768977657363929,-0.3160805023445425,1.7739371688928813,-0.2134221341675666,-0.48055523973516145,0.19313735018117087,-0.5674195854512074,-0.102024693288198,-0.684629414740228,-0.5317790761057838,-0.600397838155199,-0.19722693830907428,-0.5916570953120419,-0.08013752362889123,-0.21579300953712263,-0.4597581320539687,0.4443507260399665,0.1385784676889223
17,39,26,Weather station,Open ground - tennis court,WS39,103.7775112,1.2981447,21789.133768570406,31167.832573610365,-0.23576285484617848,0.6771745938253457,7.822444642474586,-1.5286791507897748,-0.1952673931435425,-0.923860518084135,-0.37719219630480283,-0.027870030091386146,-0.21348281562425503,-0.45268548904815453,1.3848789514013526,1.1279310366252222,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,-0.684629414740228,-0.5317790761057838,-0.9358296447930321,-0.4940425123038567,-0.2135444047216332,-0.6404403691486364,-0.17150994288416932,-0.329589937625856,-0.46111258388447124,1.1097362486923767
18,42,14,Weather station,Open ground - Eusoff Hall,WS42,103.7700675,1.2932205,20960.70207936861,30623.35909940595,-0.23576285484617848,-0.4354291828603909,-0.1393616913663457,-1.1375464963169961,1.2700015208997462,-0.9792470475210878,-0.37719219630480283,0.9844917961212228,-0.21348281562425503,0.3670713159714398,-0.6073543727772293,-0.20355323835621167,-0.28132055801001393,-0.3160805023445425,1.4913885829216431,-0.10998593116029612,-0.48055523973516145,-0.26599236280384064,1.4591654134005978,-0.102024693288198,-0.684629414740228,-0.5317790761057838,-1.136297349840621,0.07194508988682083,-0.5916570953120419,-0.8155383122179541,-0.20379002506478106,-0.13963893090123158,-0.5701283782333966,-0.7556019023103715
19,43,36,Weather station,Open ground - UTown opposite Tembusu College,WS43,103.7732876,1.3060987,21319.105335561566,32047.356177450823,-0.23576285484617848,2.438963547841251,-0.1393616913663457,2.1144256342234646,0.07893497673590341,-0.9472918468943993,-0.37719219630480283,0.9568209094064761,-0.21348281562425503,0.2114982664630058,0.20199041517031951,-0.23635582870915278,-0.2899077187273173,-0.3160805023445425,-0.5272956947066008,-0.19750887216644808,0.8931330122083736,0.3200021392954503,1.9938844104591216,-0.102024693288198,-0.6707810748402246,-0.5317790761057838,-0.7470748008777682,-0.1346213441147371,-0.3167938076827454,-0.7852843735897268,-0.4188504417051317,-0.43975569636820583,-0.5701283782333966,2.1620947560772508
20,44,40,Weather station,Lamp post - opposite UTown Plaza,WS44,103.7738481,1.3033163,21381.476568909413,31739.691060811092,-0.23576285484617848,0.28835298394058684,-0.1393616913663457,0.39739117964063037,-0.1952673931435425,-0.8659114559204728,0.5731797178741868,-0.8148845742392389,-0.21348281562425503,0.6227657424476842,-0.5450970813966486,-0.2641036853121031,-0.09628302715231571,-0.3160805023445425,1.255974780496245,0.5265445488844455,-0.11418373101275085,-0.26599236280384064,0.27743642990126016,-0.102024693288198,0.17396765905997952,-0.5317790761057838,-1.2779551749274314,0.8976556985849464,-0.5859300406077186,-0.8345155254382808,-0.3685490564038242,-0.27893100861010894,-0.5701283782333966,0.5824732535977183
21,45,38,Weather station,Column - UTown ERC seating,WS45,103.7730639,1.3054725,21294.20791843821,31978.114762144844,-0.23576285484617848,1.9074081479064469,-0.1393616913663457,1.7252905218208465,-0.1952673931435425,-0.8139590508196457,-0.37719219630480283,0.43891809848891394,-0.21348281562425503,-0.13297293701516147,-0.7941262469189713,0.10051915740948511,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,1.6234272352603294,0.83935943079551,-1.0323599687907667,-0.49579193275097183,0.9722794282642047,-0.2694756602838998,0.289278651819441,0.30227266936644953,-0.31614049718445086,1.791316628932692
22,47,20,Weather station,Open ground - next to PGP Road,WS47,103.7790622,1.2929163,21961.733980904788,30589.699044464327,-0.23576285484617848,0.9834589931448965,-0.1393616913663457,-1.0762682759093614,-0.1952673931435425,0.20194546511019848,-0.1661695832699218,-0.7675010535156657,1.0060624803477862,-0.9939822785466716,-0.7941262469189713,-0.624812791741076,1.3454924284425929,3.2827864623766936,2.109525916688144,2.3645263100136367,1.5029325703503722,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,-0.684629414740228,-0.5317790761057838,0.1475058129111772,-0.8919855524589815,-0.5916570953120419,-0.8565609549194424,-0.4188504417051317,-0.3413868546193676,-0.11782332216884087,-0.7005151363238327
