id_participant,id_onesignal,api_phone_survey_url,api_read_key,api_read_url,api_watch_survey_url,api_write_key,api_write_url,app_bundle_build_number,app_bundle_build_version,app_bundle_name,app_one_signal_app_id,location_change,pss_reminder_days,pss_reminder_enabled,pss_reminder_time,q_clothing_color,q_clothing_insulation,q_clothing_material,q_comfort_behavioral,q_comfort_heatintensity,q_comfort_heatstress,q_comfort_heatsymptoms,q_comfort_humidity,q_comfort_ind-activity,q_comfort_out-activity,q_comfort_preference,q_comfort_sensation,q_comfort_sun_a,q_comfort_sun_b,q_comfort_wind,q_environment_shade,q_general_location_area,q_general_location_change,q_general_location_envi,q_indoor_condition,si_ios_version,si_iphone_battery_charge_state,si_iphone_cellular_signal_strength,si_iphone_device_id,si_iphone_location_service_enabled,si_iphone_low_battery_mode_enabled,si_iphone_model,si_iphone_wifi_signal_strength,si_watch_battery_charge_state,si_watch_cellular_signal_strength,si_watch_connected_to_phone,si_watch_device_id,si_watch_location_service_enabled,si_watch_model,si_watch_wifi_signal_strength,si_watchos_version,timestamp_lambda,transmit_trigger,ts_altitude,ts_altitude_lambda,ts_altitude_trigger,ts_latitude,ts_latitude_lambda,ts_latitude_trigger,ts_location_accuracy_horizontal,ts_location_accuracy_vertical,ts_location_acquisition_method,ts_location_floor,ts_location_source_device,ts_longitude,ts_longitude_lambda,ts_longitude_trigger,ts_timestamp_location,ws_HRV,ws_HRV_lambda,ws_HRV_trigger,ws_altitude,ws_altitude_lambda,ws_altitude_trigger,ws_audio_exposure_headphones,ws_audio_exposure_headphones_lambda,ws_audio_exposure_headphones_trigger,ws_heart_rate,ws_heart_rate_lambda,ws_heart_rate_trigger,ws_latitude,ws_latitude_lambda,ws_latitude_trigger,ws_location_accuracy_horizontal,ws_location_accuracy_vertical,ws_location_acquisition_method,ws_location_floor,ws_location_source_device,ws_longitude,ws_longitude_lambda,ws_longitude_trigger,ws_oxygen_saturation,ws_oxygen_saturation_lambda,ws_oxygen_saturation_trigger,ws_resting_heart_rate,ws_resting_heart_rate_lambda,ws_resting_heart_rate_trigger,ws_sleep_REM,ws_sleep_REM_lambda,ws_sleep_REM_trigger,ws_sleep_awake,ws_sleep_awake_lambda,ws_sleep_awake_trigger,ws_sleep_core,ws_sleep_core_lambda,ws_sleep_core_trigger,ws_sleep_deep,ws_sleep_deep_lambda,ws_sleep_deep_trigger,ws_sleep_in_bed,ws_sleep_in_bed_lambda,ws_sleep_in_bed_trigger,ws_stand_time,ws_stand_time_lambda,ws_stand_time_trigger,ws_step_count,ws_step_count_lambda,ws_step_count_trigger,ws_survey_count,ws_survey_count_lambda,ws_survey_count_trigger,ws_timestamp_location,ws_timestamp_start,ws_walking_distance,ws_walking_distance_lambda,ws_walking_distance_trigger,wss_goal,wss_participation_days,wss_participation_time_end,wss_participation_time_start,wss_reminder_enabeled,wss_reminder_interval,wss_time_out,wss_title
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T07:41:28.320901Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,2024-02-20T07:41:28.320901Z,watch_survey,,,,,,,,,,,,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T08:50:01.184733Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,2024-02-20T08:50:01.126605Z,watch_survey,,,,,,19.26410886645317,2024-02-20T08:50:01.184733Z,watch_survey,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T08:50:01.178573Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,2024-02-20T08:50:01.119827Z,watch_survey,,,,,,71.98473060689867,2024-02-20T08:50:01.178573Z,watch_survey,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,Agree,Heavy,Agree,Nothing,moderate,Yes,High body temperature,humid,,Walking,Cooler,warm,Yes,strong,stale,,Yes,Less than 5min ago,Outdoor,,,,,,,,,,,,,,,,,,2024-02-20T07:41:27.253053Z,watch_survey,,,,,,,,,,,,,,,,,,,0.0,2024-02-20T07:41:27.253053Z,watch_survey,,,,,,,1.298753378212156,2024-02-20T07:41:27.253053Z,watch_survey,22.0,-1.0,GPS,0.0,Apple Watch,103.77611423158557,2024-02-20T07:41:27.253053Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2024-02-20T07:41:27.253053Z,watch_survey,2024-02-20T15:40:35.769+0800,2024-02-20T15:40:35.719+0800,,,,,,,,,,,Outdoor Comfort - Heat Stress
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T08:50:01.268826Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,85.0,2024-02-20T08:50:01.268826Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T08:50:01.262573Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,86.0,2024-02-20T08:50:01.262573Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T08:50:01.173041Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2024-02-20T08:50:01.114336Z,watch_survey,,,,,,16.964809183962643,2024-02-20T08:50:01.173041Z,watch_survey,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T08:50:01.167100Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2024-02-20T08:50:01.108430Z,watch_survey,,,,,,11.539611192885786,2024-02-20T08:50:01.167100Z,watch_survey,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T08:50:01.257119Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,80.0,2024-02-20T08:50:01.257119Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T08:50:01.250111Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,84.0,2024-02-20T08:50:01.250111Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
