,X,Y,Shortname,STREET_CarPark_percent,STREET_CarPark_distance,STREET_CourtTrack_percent,STREET_CourtTrack_distance,STREET_Path_percent,STREET_Path_distance,STREET_Road_percent,STREET_Road_distance,STREET_Walkway_percent,STREET_Walkway_distance,BLDandVEG_Sun_h,BLDandVEG_SkyExp,VEG_Tree_Height,VEG_TypeA_percent,VEG_TypeB_percent,VEG_TypeC_percent,VEG_TypeD_percent,VEG_TypeE_percent,VEG_Turf_percent,VEG_Shrub_percent,BLD_percent,BLD_Height,Terrain_height,VEG_TypeA_distance,VEG_TypeB_distance,VEG_TypeC_distance,VEG_TypeD_distance,VEG_TypeE_distance,VEG_Turf_distance,VEG_Shrub_distance,cluster
13,20960.70207936861,30623.35909940595,WS42,0.0,64.75688720000001,0.0,60.844596428,0.17099999999999999,0.0,0.0,61.455674097999996,0.0,76.37790407199999,0.6,14.1111136,10.8178626,0.0,0.1913935366,0.015600000000000003,0.0,0.0,0.758,0.0,0.0,0.0,10.7282156,51.538941918,0.0,1.7486861576000003,8.1074346708,15.149494530000002,0.0,44.851501442,0
14,21294.580617412874,30807.104351163343,WS33,0.5177999999999999,0.0,0.0,244.76657136,0.0,18.260639348,0.0,41.612524142,0.0,5.7137937039999995,5.0,36.498592200000004,35.7449702,0.0,0.169328174,0.0,0.06420000000000001,0.0,0.302,0.0,0.0,0.0,35.761333,20.443310142,0.0,14.891205414000002,1.2507546,6.780420401399999,0.46045851660000003,49.178903546,9
15,21432.48679000491,30548.11257404051,WS67,0.013000000000000001,2.7457713396,0.0,74.05439177400001,0.0,38.860250326,0.0,29.157730877999995,0.0,22.36850091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.732578000000004,12.9674468,34.406580206,23.562779128,42.945088471999995,8.6397036758,13.7094832388,39.663624998,4.1355370688,2
16,21455.76841862611,30524.99082251101,WS32,0.0,8.259175106799999,0.0,85.88118910400001,0.0,5.845403016800001,0.26639999999999997,0.3466183182,0.32300000000000006,0.23392,0.4,4.8001264,4.939946,0.0,0.0,0.0,0.755,0.06,0.0,0.0,0.916,11.3465156,11.1601046,24.208629846,11.324189084,17.687660956000002,0.0,0.8296809952,11.3817490508,21.354311522000003,1
17,21475.886980120267,30879.869442485076,WS31,0.0,63.568642074,0.0,378.30364742,0.0,34.244844994000005,0.348,0.03088,0.1766,0.0,4.4,40.638500199999996,7.9544922,0.0,0.0,0.0,0.328,0.0,0.048,0.0,0.0,0.0,27.9773548,89.92163862,7.749143332,30.036838902,0.5593497582,9.166172485599999,3.1623469012000003,57.521899882,1
18,21626.528010440386,30753.766382770053,WS09,0.0,73.071747922,0.0,356.13476588,0.0,42.554431642000004,0.0,27.541653637999996,0.0,33.201444732,0.4,4.083087000000001,10.3872388,0.0,0.0947774962,0.0,0.008,0.0,0.0,0.0,0.43200000000000005,22.838546799999996,33.575481,28.621146416,0.9101941626000001,37.584217464,5.39570584,13.047150030000001,58.83095068,36.524336207999994,0
20,22166.82948879752,30425.380453267408,WS36,0.0,101.288142584,0.0,126.55907539999998,0.0,12.564410718000001,0.0,24.224078560000002,0.0,22.698142374000003,3.0,20.9876848,0.0,0.0,0.0,0.13340000000000002,0.0,0.0,0.6399999999999999,0.0,0.30599999999999994,18.9772912,38.0836726,17.151708122,36.052651886,2.2059923433999997,4.0187319324,18.12035003,0.0527994888,15.949442496,2
21,22160.607366818887,30380.33237295651,WS13,0.0,140.871509,0.0,82.569896172,0.0,22.361214299999997,0.692,0.0,0.0,5.774975282000001,7.2,33.438531,6.6594162,0.0,0.0,0.0,0.1736,0.063,0.086,0.0,0.78,0.0,28.746040400000005,23.74591263,39.356663266,18.652213404,0.5632104098,0.9194044553999999,1.1511959294,13.4339166844,1
23,22358.94096690277,30434.322064624328,WS14,0.0,67.432830228,0.0,178.05172416,0.0,76.504151788,0.7118,0.0,0.0,9.401314336999999,1.0,6.448088,0.0,0.0,0.0,0.0,0.0408,0.0,0.126,0.0418,0.6679999999999999,36.0165534,41.2533828,31.63708221,10.228757494800002,16.879879774,2.0430809286,3.9031529498,0.8198426451999999,2.8379620074000003,2
24,21843.42123368443,31151.167743536622,WS18,0.0,151.26114492000002,0.4568,0.3111837248,0.0,15.844178668000001,0.013800000000000002,3.3787146371999994,0.0,40.762895365999995,10.2,62.1803484,0.0,0.0,0.0,0.0,0.0,0.0,0.41400000000000003,0.0,0.0,0.0,14.8936116,41.512437104,30.727104222,18.958504909999995,16.279675211999997,15.334729114000002,0.427317984,393.39138924,0
25,21789.133768570406,31167.832573610365,WS39,0.0,201.12027718,1.0,0.0,0.0,3.6792196417999996,0.0,27.476914899999997,0.0,31.424904369999997,7.0,43.2150208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6354648,21.277011366,15.959872352,9.2126457932,9.32434228,7.0254183454,7.148389949,397.45434581999996,13
26,22047.530518092564,31211.75839436293,WS24,0.0,41.363268956,0.0,115.42716364,0.0,99.879786316,0.0,127.58326366000001,0.0,123.91471573999999,4.0,46.201813800000004,9.825247000000001,0.0,0.0,0.0,0.1518,0.3386,0.914,0.0,0.0,0.0,15.796096,6.869715633000001,7.541952017,63.501970717999995,0.1304315876,0.0,0.0,442.65677114,0
27,22149.806157592164,31167.526291624785,WS50,0.7188000000000001,0.0,0.0,216.94776462,0.0,89.45379957999998,0.0,67.19074293599999,0.0,50.627492502,2.8,25.622902,20.357234,0.234064702,0.040895896599999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.131675999999999,1.2373507376,1.7140366372000002,12.885923994,12.9701878302,2.9270643186000003,67.84535146200001,430.2266960200001,17
29,22051.830920579858,30900.965450859876,WS68,0.0,69.72407272199999,0.0,240.81277394000003,0.0,148.10910336,0.2384,1.741112417,0.0,138.47107546,0.8,8.0034462,0.0,0.0,0.0186444464,0.0,0.0,0.0,0.0,0.0,0.708,69.76303060000001,30.9855152,68.97746631,2.1207929757999997,57.217690652,15.376825970000002,34.75951575199999,102.77936956200001,146.9613969,16
31,22245.700610693355,30916.088071738654,WS69,0.0,69.099114564,0.0,312.70317878000003,0.0,132.44496438000002,0.0,6.190597599,0.0,9.489854163999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.792493,23.015214399999998,54.686373677999995,57.186704494000004,15.900308418,14.539653608,13.1299492386,113.94265333999999,302.67151084,2
36,21308.353071621343,31981.708108198574,WS74,0.0,364.40894132,0.0,512.08313692,0.0,11.672111598799999,0.0,54.596399034,0.0,61.36733755,1.0,11.921560000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.717226,13.089859999999998,28.462932486,52.427991874,12.3176189946,13.984522506,21.042393706000002,15.508280432000001,530.24466876,7
38,21189.602345592306,31842.452925213558,WS57,0.0,187.21240002,0.0,356.63036987999993,0.0,82.95933402600001,0.5682,0.5023933768,0.0876,3.128726694,2.2,32.8080734,15.426754399999998,0.0,0.175231131,0.0,0.0,0.0,0.258,0.0,0.028000000000000004,0.0,8.0803908,50.204949316,0.0,2.5121521172,4.969683541,10.796610458999998,0.540862543,407.01458399999996,0
